record_id,H2,CH4,C2H6,C2H4,C2H2,Fault_Type
IE_DGA.xlsx:data_row_63,220,77,22,170,240,DF
IE_DGA.xlsx:data_row_64,5900,1500,68,1200,2300,DF
IE_DGA.xlsx:data_row_65,420,250,41,530,800,DF
IE_DGA.xlsx:data_row_66,2800,2800,234,3500,3600,DF
IE_DGA.xlsx:data_row_67,99,170,20,200,190,DF
IE_DGA.xlsx:data_row_68,310,230,54,610,760,DF
IE_DGA.xlsx:data_row_69,800,160,23,260,600,DF
IE_DGA.xlsx:data_row_70,1500,395,28,395,323,DF
IE_DGA.xlsx:data_row_71,20000,13000,1850,29000,57000,DF
IE_DGA.xlsx:data_row_72,305,85,25,197,130,DF
IE_DGA.xlsx:data_row_73,1900,530,35,383,434,DF
IE_DGA.xlsx:data_row_74,110,62,90,140,250,DF
IE_DGA.xlsx:data_row_75,3700,1690,128,2810,3270,DF
IE_DGA.xlsx:data_row_76,2770,660,54,712,763,DF
IE_DGA.xlsx:data_row_77,245,120,18,131,167,DF
IE_DGA.xlsx:data_row_78,1170,255,18,312,325,DF
IE_DGA.xlsx:data_row_79,4419,3564,668,2861,2025,DF
IE_DGA.xlsx:data_row_80,810,580,111,570,490,DF
IE_DGA.xlsx:data_row_81,5000,1200,83,1000,1100,DF
IE_DGA.xlsx:data_row_82,10000,6730,345,7330,10400,DF
IE_DGA.xlsx:data_row_83,1570,735,87,1330,1740,DF
IE_DGA.xlsx:data_row_84,1270,3450,520,1390,8,TF
IE_DGA.xlsx:data_row_85,3420,7870,1500,6990,33,TF
IE_DGA.xlsx:data_row_86,360,610,259,260,9,TF
IE_DGA.xlsx:data_row_87,1,27,49,4,1,TF
IE_DGA.xlsx:data_row_88,3675,6392,2500,7691,5,TF
IE_DGA.xlsx:data_row_89,48,610,29,10,,TF
IE_DGA.xlsx:data_row_90,12,18,4,4,,TF
IE_DGA.xlsx:data_row_91,66,60,2,7,,TF
IE_DGA.xlsx:data_row_92,1450,940,211,322,61,TF
IE_DGA.xlsx:data_row_93,,18900,410,540,330,TF
IE_DGA.xlsx:data_row_94,960,4000,1290,1560,6,TF
IE_DGA.xlsx:data_row_95,24700,61000,26300,42100,1560,TF
IE_DGA.xlsx:data_row_96,14,44,124,7,1,TF
IE_DGA.xlsx:data_row_97,2031,149,20,3,,TF
IE_DGA.xlsx:data_row_98,480,1075,298,1132,,TF
IE_DGA.xlsx:data_row_99,40000,400,70,600,6,TF
IE_DGA.xlsx:data_row_100,8800,64064,72128,95650,,TF
IE_DGA.xlsx:data_row_101,6709,10500,1400,17700,750,TF
IE_DGA.xlsx:data_row_102,1100,1600,221,2010,26,TF
IE_DGA.xlsx:data_row_103,290,966,299,1810,57,TF
IE_DGA.xlsx:data_row_104,2500,10500,4790,13500,6,TF
IE_DGA.xlsx:data_row_105,1860,4980,,10700,1600,TF
IE_DGA.xlsx:data_row_106,860,1670,30,2050,40,TF
IE_DGA.xlsx:data_row_107,150,22,9,60,11,TF
IE_DGA.xlsx:data_row_108,400,940,210,820,24,TF
IE_DGA.xlsx:data_row_109,6,2990,29990,26076,67,TF
IE_DGA.xlsx:data_row_110,100,200,110,670,11,TF
IE_DGA.xlsx:data_row_111,290,1260,231,820,8,TF
IE_DGA.xlsx:data_row_112,1550,2740,816,5450,184,TF
IE_DGA.xlsx:data_row_113,3910,4290,626,6040,1230,TF
IE_DGA.xlsx:data_row_114,12705,23498,6047,34257,5188,TF
IE_DGA.xlsx:data_row_115,1,8,8,100,6,TF
IE_DGA.xlsx:data_row_116,300,700,280,1700,36,TF
IE_DGA.xlsx:data_row_117,107,143,34,222,2,TF
IE_DGA.xlsx:data_row_118,134,134,157,45,,NC
IE_DGA.xlsx:data_row_119,100,200,200,200,20,NC
IE_DGA.xlsx:data_row_120,,225,225,110,3,NC
IE_DGA.xlsx:data_row_121,105,125,71,166,10,NC
IE_DGA.xlsx:data_row_122,100,50,65,50,15,NC
IE_DGA.xlsx:data_row_123,100,70,70,170,10,NC
IE_DGA.xlsx:data_row_124,150,0,0,220,8,NC
IE_DGA.xlsx:data_row_125,,224,224,112,5,NC
IE_DGA.xlsx:data_row_126,200,50,50,200,3,NC
IE_DGA.xlsx:data_row_127,85,0,80,35,70,NC
IE_DGA.xlsx:data_row_128,175,0,100,375,3,NC
IE_DGA.xlsx:data_row_129,80,0,200,100,4,NC
IE_DGA.xlsx:data_row_130,150,,200,100,15,NC
IE_DGA.xlsx:data_row_131,125,100,100,150,20,NC
IE_DGA.xlsx:data_row_132,200,3,50,200,,NC
IE_DGA.xlsx:data_row_133,50,30,0,0,5,NC
IE_DGA.xlsx:data_row_134,100,70,70,170,10,NC
IE_DGA.xlsx:data_row_135,95,280,250,150,10,NC
IE_DGA.xlsx:data_row_136,60,40,50,60,3,NC
IE_DGA.xlsx:data_row_137,84,79,52,166,56,NC
IE_DGA.xlsx:data_row_138,66,111,90,110,15,NC
IE_DGA.xlsx:data_row_139,235,180,270,145,336,NC
IE_DGA.xlsx:data_row_140,250,150,150,250,150,NC
IE_DGA.xlsx:data_row_141,150,0,0,220,150,NC
IE_DGA.xlsx:data_row_142,200,50,50,200,30,NC
IE_DGA.xlsx:data_row_143,134,224,550,224,154,NC
IE_DGA.xlsx:data_row_144,250,0,15,150,280,NC
IE_DGA.xlsx:data_row_145,150,0,80,320,22,NC
IE_DGA.xlsx:data_row_146,,150,550,200,150,NC
IE_DGA.xlsx:data_row_147,150,,200,200,150,NC
IE_DGA.xlsx:data_row_148,200,100,100,100,50,NC
IE_DGA.xlsx:data_row_149,250,190,180,250,180,NC
IE_DGA.xlsx:data_row_150,75,35,50,110,80,NC
IE_DGA.xlsx:data_row_151,151,131,73,250,266,NC
IE_DGA.xlsx:data_row_152,8288,1120,784,1344,19712,NC
IE_DGA.xlsx:data_row_153,31,6,8,3,1,NC
IE_DGA.xlsx:data_row_154,22,7,4,5,,NC
IE_DGA.xlsx:data_row_155,80,18,20,,1,NC
IE_DGA.xlsx:data_row_156,170,16,8,,1,NC
IE_DGA.xlsx:data_row_157,50,10,10,10,5,NC
IE_DGA.xlsx:data_row_158,120,0,0,10,5,NC
IE_DGA.xlsx:data_row_159,150,0,0,8,3,NC
IE_DGA.xlsx:data_row_160,85,0,0,9,5,NC
IE_DGA.xlsx:data_row_161,70,0,0,30,4,NC
IE_DGA.xlsx:data_row_162,135,0,0,30,4,NC
IE_DGA.xlsx:data_row_163,1000,0,0,20,16,NC
IE_DGA.xlsx:data_row_164,6,11,7,3,1,NC
IE_DGA.xlsx:data_row_165,150,120,130,40,1,NC
IE_DGA.xlsx:data_row_166,20,30,25,4,2,NC
IE_DGA.xlsx:data_row_167,300,30,25,4,2,NC
